Index,URL,,Desc,Amount,Type,picture
1,https://shopgoodwill.com/item/241997584,https://shopgoodwillimages.azureedge.net/production/159/Items/08-28-2025/6d6ad344-b7e2-447f-bf0d-690ad29e9e33leyB_0828t1.jpeg,"COACH Track Pack 14 In Signature Canvas, Authenticated + Matching Wallet",$106.99 ,9h 33m,picture
2,https://shopgoodwill.com/item/233286391,https://shopgoodwillimages.azureedge.net/production/7/Items/05-20-2025/e777a722-a42d-4ca9-a146-27cac8a6ee2aters_0520t1.jpeg,Dooney & Bourke Giraffe Print Shoulder Bag and Wallet Set with COAs,$63.99 ,Auction Ended,picture
3,https://shopgoodwill.com/item/233838309,https://shopgoodwillimages.azureedge.net/production/32/Items/02-25-2025/674301fc-0355-41cf-b0e6-a6569b6e3b7blose_0225t1.jpeg,Gowntastic Dress Boutique Black Sleeveless Gown ALP0 Size 2 With Original Tag,$75.00 ,,picture
4,https://shopgoodwill.com/item/232967239,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/2d948a1f-4c47-4dfe-9408-7c6cca993ec7chel_0610t1.jpeg,Nike Hyperposite Basketball Shoes - Black/Blue/Pink Men's Size 10.5,$51.00 ,Auction Ended,picture
5,https://shopgoodwill.com/item/232970273,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/bb221a91-301e-4200-a113-ab9af8c05b5clens_0610t1.jpeg,Nike Air Foamposite One Metallic Gold Sneakers - Men's Size US 12.5,$86.00 ,Auction Ended,picture
6,https://shopgoodwill.com/item/232970602,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/48d2fb4d-2810-403f-8262-bd2ca1621d0elens_0610t1.jpeg,Nike Air Foamposite One Knicks Edition Basketball Shoes - Men's Size US 11,$93.01 ,Auction Ended,picture
7,https://shopgoodwill.com/item/232971528,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/ef336e7d-d4d6-464b-b3b2-0ef3551f7031chel_0610t1.jpeg,Dr. Martens Bonny Canvas Boots - Size 14 US Men,$60.00 ,Auction Ended,picture
8,https://shopgoodwill.com/item/233187678,https://shopgoodwillimages.azureedge.net/production/19/Items/06-12-2025/58d651f4-76c6-4427-9afd-d56a9ad14014nemc_0612t1.jpeg,St. John Collection Made In USA Black Knit Stretch Waist Pencil Skirt Size 10,$52.00 ,Auction Ended,picture
9,https://shopgoodwill.com/item/232974880,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/6cc3bc4d-fc4d-4121-9732-69363202ebf9chel_0610t1.jpeg,Assorted Decorative Leather Belts with Buckles - Set of 8,$71.00 ,Auction Ended,picture
10,https://shopgoodwill.com/item/233187816,https://shopgoodwillimages.azureedge.net/production/19/Items/06-12-2025/89e47a56-feeb-41a2-8164-3bb1fb8782c1nemc_0612t1.jpeg,St. John Collection Made In USA Black Knit Stretch Waist Pants Size 10,$52.00 ,Auction Ended,picture
11,https://shopgoodwill.com/item/233188626,https://shopgoodwillimages.azureedge.net/production/19/Items/06-12-2025/bb3c8921-a1ce-494b-9084-f6bbfa5e25dcmegm_0612t1.jpeg,Unisex Birkenstock Arizona White Sandals Size 39 EU Women's 8 US,$62.00 ,Auction Ended,picture
12,https://shopgoodwill.com/item/232976708,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/557ceedb-e40b-4bf3-af7e-61491d666580chel_0610t1.jpeg,Nike Air Max 97 'Moving Co.' Sneakers - Men's Size US 11,$76.00 ,Auction Ended,picture
13,https://shopgoodwill.com/item/233301738,https://shopgoodwillimages.azureedge.net/production/19/Items/05-27-2025/b20ef517-aac4-4eb8-b427-e7acf1f41badanan_0527t1.jpeg,Bob Mackie Pink Black Silk Jeweled Horse Square Scarf,$53.00 ,Auction Ended,picture
14,https://shopgoodwill.com/item/233288645,https://shopgoodwillimages.azureedge.net/production/19/Items/06-13-2025/a56dfcfc-f537-46f9-8475-a2fc7ba6cd5drath_0613t1.jpeg,MONTANA WEST Teal & Black Western Rhinestone Embossed Studded Shoulder Purse,$56.00 ,Auction Ended,picture
15,https://shopgoodwill.com/item/233279429,https://shopgoodwillimages.azureedge.net/production/19/Items/06-13-2025/ee6048ba-f639-434a-afe3-7ae1e8e39940iahp_0613t1.jpeg,Vintage Women's Opus 1 by Diana Decorated Blue Teal Long Dress Size One Size,$87.70 ,Auction Ended,picture
16,https://shopgoodwill.com/item/232978599,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/38310b53-9064-4bf3-b7e7-8bf5246d9f9cchel_0610t1.jpeg,Nike Air Foamposite One 'Alternate Galaxy' Sneakers - Men's Size 11 US,$82.02 ,Auction Ended,picture
17,https://shopgoodwill.com/item/232978661,https://shopgoodwillimages.azureedge.net/production/122/Items/06-10-2025/da3b2ef3-9208-4b75-9893-c12903c047a8lens_0610t1.jpeg,Dan Post Men's Black Leather Western Cowboy Boots - Size 8M,$62.00 ,Auction Ended,picture
18,https://shopgoodwill.com/item/232979877,https://shopgoodwillimages.azureedge.net/production/2/Items/06-10-2025/cf05358f-4ba5-418a-bbd7-cbf61e9734dfanoc_0610t1.jpeg,Steamline Luggage Purse,$101.00 ,Auction Ended,picture
19,https://shopgoodwill.com/item/233300571,https://shopgoodwillimages.azureedge.net/production/114/Items/04-16-2025/18bfb8db-7520-4917-b8c0-06ed9e430696an68_0416t1.jpeg,Men's black The North Face Boots - Size 8.5,$50.00 ,Auction Ended,picture
20,https://shopgoodwill.com/item/233295903,https://shopgoodwillimages.azureedge.net/production/19/Items/06-13-2025/969951ae-f367-416d-891c-ebc3f98cef4ainal_0613t1.jpeg,Vintage Men's Carhartt 6BLCT Brown '93 Work Worn Lined Chore Coat Jacket 40 Tall,$51.00 ,Auction Ended,picture
